Asterix
1 Astérix le Gaulois| Dargaud| Paris| juillet 1961 Scénario : René Goscinny - Dessin : Albert Uderzo
2 La Serpe d'or| Dargaud| Paris| juillet 1962 Scénario : René Goscinny - Dessin : Albert Uderzo
3 Astérix et les Goths| Dargaud| Paris| juillet 1963 Scénario : René Goscinny - Dessin : Albert Uderzo
4 Astérix gladiateur| Dargaud| Paris| juillet 1964 Scénario : René Goscinny - Dessin : Albert Uderzo
5 Le Tour de Gaule d'Astérix| Dargaud| Paris| janvier 1965 Scénario : René Goscinny - Dessin : Albert Uderzo
6 Astérix et Cléopâtre| Dargaud| Paris| juillet 1965 Scénario : René Goscinny - Dessin : Albert Uderzo
7 Le Combat des chefs| Dargaud| Paris| janvier 1966 Scénario : René Goscinny - Dessin : Albert Uderzo
8 Astérix chez les Bretons| Dargaud| Paris| juillet 1966 Scénario : René Goscinny - Dessin : Albert Uderzo
9 Astérix et les Normands| Dargaud| Paris| octobre 1966 Scénario : René Goscinny - Dessin : Albert Uderzo
10 Astérix légionnaire| Dargaud| Paris| juillet 1967 Scénario : René Goscinny - Dessin : Albert Uderzo
11 Le Bouclier arverne| Dargaud| Paris| janvier 1968 Scénario : René Goscinny - Dessin : Albert Uderzo
12 Astérix aux Jeux olympiques| Dargaud| Paris| juillet 1968 Scénario : René Goscinny - Dessin : Albert Uderzo
13 Astérix et le chaudron| Dargaud| Paris| janvier 1969 Scénario : René Goscinny - Dessin : Albert Uderzo
14 Astérix en Hispanie| Dargaud| Paris| octobre 1969 Scénario : René Goscinny - Dessin : Albert Uderzo
15 La Zizanie| Dargaud| Paris| avril 1970 Scénario : René Goscinny - Dessin : Albert Uderzo
16 Astérix chez les Helvètes| Dargaud| Paris| octobre 1970 Scénario : René Goscinny - Dessin : Albert Uderzo
17 Le Domaine des dieux| Dargaud| Paris| octobre 1971 Scénario : René Goscinny - Dessin : Albert Uderzo
18 Les Lauriers de César| Dargaud| Paris| janvier 1972 Scénario : René Goscinny - Dessin : Albert Uderzo
19 Le Devin| Dargaud| Paris| octobre 1972 Scénario : René Goscinny - Dessin : Albert Uderzo
20 Astérix en Corse| Dargaud| Paris| avril 1973 Scénario : René Goscinny - Dessin : Albert Uderzo
21 Le Cadeau de César| Dargaud| Paris| juillet 1974 Scénario : René Goscinny - Dessin : Albert Uderzo
22 La Grande Traversée| Dargaud| Paris| avril 1975 Scénario : René Goscinny - Dessin : Albert Uderzo
23 Obélix et Compagnie| Dargaud| Paris| avril 1976 Scénario : René Goscinny - Dessin : Albert Uderzo
24 Astérix chez les Belges| Dargaud| Paris| janvier 1979 Scénario : René Goscinny - Dessin : Albert Uderzo
25 Le Grand Fossé| Albert René| Paris| avril 1980 Auteur complet : Albert Uderzo
26 L'Odyssée d'Astérix| Albert René| Paris| octobre 1981 Auteur complet : Albert Uderzo
27 Le Fils d'Astérix| Albert René| Paris| octobre 1983 Auteur complet : Albert Uderzo
28 Astérix chez Rahàzade| Albert René| Paris| octobre 1987 Auteur complet : Albert Uderzo
29 La Rose et le Glaive| Albert René| Paris| octobre 1991 Auteur complet : Albert Uderzo - Couleurs : Studio Legrain
30 La Galère d'Obélix| Albert René| Paris| juillet 1996 Auteur complet : Albert Uderzo - Couleurs : Thierry Mébarki
31 Astérix et Latraviata| Albert René| Paris| mars 2001 Auteur complet : Albert Uderzo - Couleurs : Thierry Mébarki
32 Astérix et la Rentrée gauloise1| Albert René| Paris| janvier 1993 Scénario : Albert Uderzo et René Goscinny - Dessin : Albert Uderzo
33 Le ciel lui tombe sur la tête| Albert René| Paris| octobre 2005 Auteur complet : Albert Uderzo - Couleurs : Thierry Mébarki
34 L'Anniversaire d'Astérix et Obélix - Le Livre d'or| Albert René| Paris| octobre 2009 Scénario : Albert Uderzo - Dessin : Albert Uderzo - Couleurs : Thierry Mébarki
