serie : Pipolin
1 La Pêche miraculeuse de Pipolin| Éditions Vaillant| nullePart| 10 1957| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
2 Pipolin et le sanglier solitaire| Éditions Vaillant| nullePart| 11 1957| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
3 Les aventures de Pipolin et du nain qui avait trop bu| Éditions Vaillant| nullePart| 12 1957| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
4 Les aventures de Pipolin et du petit chien Floc| Éditions Vaillant| nullePart| 01 1958| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
5 sans titre| Éditions Vaillant| nullePart| 02 1958| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
6 La Voiture de Pipolin| Éditions Vaillant| nullePart| 03 1958| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
7 Pipolin et le poisson d'avril| Éditions Vaillant| nullePart| 04 1958| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
8 Pipolin et le trésor| Éditions Vaillant| nullePart| 05 1958| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
9 Pipolin et le fantôme !| Éditions Vaillant| nullePart| 06 1958| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
10 Pipolin passe l'examen| Éditions Vaillant| nullePart| 07 1958| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
11 Pipolin et la pêche miraculeuse| Éditions Vaillant| nullePart| 08 1958| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
12 Pipolin visite le musée| Éditions Vaillant| nullePart| 09 1958| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
13 L'Anniversaire de Pipolin| Éditions Vaillant| nullePart| 10 1958| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
14 Pipolin et le magicien de la forêt| Éditions Vaillant| nullePart| 11 1958| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
15 Le Noël de Pipolin| Éditions Vaillant| nullePart| 12 1958| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
16 L'Héritage de Pipolin| Éditions Vaillant| nullePart| 01 1959| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
17 Pipolin et la joyeuse mascarade| Éditions Vaillant| nullePart| 02 1959| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
18 Les Aventures de Pipolin au zoo| Éditions Vaillant| nullePart| 03 1959| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
19 La Fête dans la forêt| Éditions Vaillant| nullePart| 04 1959| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
20 Le Cirque est arrivé !| Éditions Vaillant| nullePart| 05 1959| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
21 L'Île aux perroquets| Éditions Vaillant| nullePart| 06 1959| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
22 Pipolin devient chasseur| Éditions Vaillant| nullePart| 07 1959| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
23 Pipolin découvre l'Italie| Éditions Vaillant| nullePart| 08 1959| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
